,participant_id,age,agent,color,video_order,video_url,rating_enjoyment,rating_danger,rating_map_difficulty,perceived_playing_style,game_familiarity,watch_gaming_frequency,model_name,amplitude_condition,danger_condition,danger_score,map_difficulty_condition,map_difficulty_score,trajectory_unit,trajectory_model,trajectory
2899,7564-37dcab36-66d5-4e1f-993d-873d21b586fa,29,high_danger_low_difficulty,red,4,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty_48.00_red.mp4,,73.0,,69.0,2.0,3.0,unlimited,low,high,0.47,low,0.48,unlimited_trajectory_low_amplitude_high_danger_0.047_low_difficulty,unlimited,unlimited_low_amplitude
2900,5647-dd10f8f7-05d0-431d-ad5b-3929ea79f5a0,61,high_danger_high_difficulty,yellow,1,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_yellow.mp4,,,0.0,17.0,0.0,2.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2901,5647-dd10f8f7-05d0-431d-ad5b-3929ea79f5a0,61,low_danger_high_difficulty,green,2,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty_72.00_green.mp4,,,22.0,17.0,0.0,2.0,mr_2_1_10,high,low,0.42999999999999994,high,0.72,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2902,5647-dd10f8f7-05d0-431d-ad5b-3929ea79f5a0,61,low_danger_low_difficulty,red,3,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty_44.00_red.mp4,,,24.0,17.0,0.0,2.0,mr_2_1_10,low,low,0.38,low,0.44,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2903,5647-dd10f8f7-05d0-431d-ad5b-3929ea79f5a0,61,high_danger_low_difficulty,blue,4,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_blue.mp4,,,50.0,17.0,0.0,2.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2904,6544-5501e8e1-716a-4a6a-9ffe-ab2820aa9611,60,high_danger_high_difficulty,blue,1,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty_70.33_blue.mp4,30.0,,,0.0,0.0,1.0,mr_5_2_20,high,high,0.62,high,0.7033,mr_5_2_20_trajectory_high_amplitude_high_danger_0.062_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2905,6544-5501e8e1-716a-4a6a-9ffe-ab2820aa9611,60,low_danger_high_difficulty,yellow,2,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty_70.00_yellow.mp4,28.0,,,0.0,0.0,1.0,mr_5_2_20,high,low,0.48,high,0.7,mr_5_2_20_trajectory_high_amplitude_low_danger_0.048_high_difficulty,mr_5_2_20,mr_5_2_20_high_amplitude
2906,6544-5501e8e1-716a-4a6a-9ffe-ab2820aa9611,60,low_danger_low_difficulty,green,3,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty_46.00_green.mp4,23.0,,,0.0,0.0,1.0,mr_5_2_20,low,low,0.39,low,0.46,mr_5_2_20_trajectory_low_amplitude_low_danger_0.039_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2907,6544-5501e8e1-716a-4a6a-9ffe-ab2820aa9611,60,high_danger_low_difficulty,red,4,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty_46.00_red.mp4,34.0,,,0.0,0.0,1.0,mr_5_2_20,low,high,0.5,low,0.46,mr_5_2_20_trajectory_low_amplitude_high_danger_0.050_low_difficulty,mr_5_2_20,mr_5_2_20_low_amplitude
2908,0062-3ee94ef5-cafe-41e0-898b-4d26afdde44f,36,high_danger_high_difficulty,red,1,mr_2_1_10_trajectory_low_amplitude_high_danger_0.049_high_difficulty_56.33_red.mp4,,64.0,,65.0,0.0,3.0,mr_2_1_10,low,high,0.49,high,0.5633,mr_2_1_10_trajectory_low_amplitude_high_danger_0.049_high_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2909,0062-3ee94ef5-cafe-41e0-898b-4d26afdde44f,36,high_danger_low_difficulty,blue,2,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_blue.mp4,,40.0,,65.0,0.0,3.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2910,0062-3ee94ef5-cafe-41e0-898b-4d26afdde44f,36,low_danger_high_difficulty,yellow,3,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty_72.00_yellow.mp4,,63.0,,65.0,0.0,3.0,mr_2_1_10,high,low,0.42999999999999994,high,0.72,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2911,0062-3ee94ef5-cafe-41e0-898b-4d26afdde44f,36,low_danger_low_difficulty,green,4,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty_56.33_green.mp4,,43.0,,65.0,0.0,3.0,mr_2_1_10,high,low,0.42000000000000004,low,0.5633,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2912,3353-bfdcb39a-3250-4a33-b7ca-3fa851d04cc3,44,high_danger_high_difficulty,green,1,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_green.mp4,,81.0,,28.0,3.0,2.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2913,3353-bfdcb39a-3250-4a33-b7ca-3fa851d04cc3,44,high_danger_low_difficulty,red,2,mr_2_1_10_trajectory_high_amplitude_high_danger_0.056_low_difficulty_54.33_red.mp4,,63.0,,28.0,3.0,2.0,mr_2_1_10,high,high,0.56,low,0.5433,mr_2_1_10_trajectory_high_amplitude_high_danger_0.056_low_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2914,3353-bfdcb39a-3250-4a33-b7ca-3fa851d04cc3,44,low_danger_high_difficulty,blue,3,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty_57.00_blue.mp4,,0.0,,28.0,3.0,2.0,mr_2_1_10,low,low,0.37,high,0.57,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2915,3353-bfdcb39a-3250-4a33-b7ca-3fa851d04cc3,44,low_danger_low_difficulty,yellow,4,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty_44.00_yellow.mp4,,0.0,,28.0,3.0,2.0,mr_2_1_10,low,low,0.38,low,0.44,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2916,2447-ae35d5d3-cc6d-4413-8770-96357e99f0e9,35,high_danger_high_difficulty,green,1,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_green.mp4,55.0,,,23.0,1.0,1.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2917,2447-ae35d5d3-cc6d-4413-8770-96357e99f0e9,35,low_danger_high_difficulty,red,2,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty_72.00_red.mp4,39.0,,,23.0,1.0,1.0,mr_2_1_10,high,low,0.42999999999999994,high,0.72,mr_2_1_10_trajectory_high_amplitude_low_danger_0.043_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
2918,2447-ae35d5d3-cc6d-4413-8770-96357e99f0e9,35,low_danger_low_difficulty,blue,3,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty_44.00_blue.mp4,36.0,,,23.0,1.0,1.0,mr_2_1_10,low,low,0.38,low,0.44,mr_2_1_10_trajectory_low_amplitude_low_danger_0.038_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2919,2447-ae35d5d3-cc6d-4413-8770-96357e99f0e9,35,high_danger_low_difficulty,yellow,4,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_yellow.mp4,58.0,,,23.0,1.0,1.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2920,5770-523371fa-8fdb-4152-821e-cbfaa2749f03,56,high_danger_high_difficulty,red,1,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_red.mp4,,,92.0,37.0,1.0,2.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
